duration_seconds,expected_seconds,experiment,final_train_loss,final_val_loss,peak_gpu_memory_bytes,readable_duration,run_id,seed,status,configuration
2.2109131610000077,11.0,scheduler_tuning,5.33910608291626,5.477297067642212,138884096,2.21s,tune-wsd-lr0.0003-wu10,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0003, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 10, ""weight_decay"": 0.1, ""width"": 256}"
2.2170201129999896,11.0,scheduler_tuning,5.344815254211426,5.485362410545349,138884096,2.22s,tune-wsd-lr0.0003-wu20,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0003, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 20, ""weight_decay"": 0.1, ""width"": 256}"
2.4143131280000034,11.0,scheduler_tuning,5.34637451171875,5.485232591629028,138884096,2.41s,tune-wsd-lr0.0003-wu40,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0003, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 40, ""weight_decay"": 0.1, ""width"": 256}"
2.8699663550000025,11.0,scheduler_tuning,5.311103820800781,5.440499424934387,138884096,2.87s,tune-wsd-lr0.0006-wu10,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0006, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 10, ""weight_decay"": 0.1, ""width"": 256}"
2.276286048000003,11.0,scheduler_tuning,5.339515686035156,5.466810941696167,138884096,2.28s,tune-wsd-lr0.0006-wu20,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0006, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 20, ""weight_decay"": 0.1, ""width"": 256}"
2.260282908000022,11.0,scheduler_tuning,5.330439567565918,5.465359449386597,138884096,2.26s,tune-wsd-lr0.0006-wu40,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0006, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 40, ""weight_decay"": 0.1, ""width"": 256}"
2.2615041199999837,11.0,scheduler_tuning,5.368446350097656,5.438701152801514,138884096,2.26s,tune-wsd-lr0.0012-wu10,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0012, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 10, ""weight_decay"": 0.1, ""width"": 256}"
2.245690890999981,11.0,scheduler_tuning,5.365477561950684,5.474208831787109,138884096,2.25s,tune-wsd-lr0.0012-wu20,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0012, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 20, ""weight_decay"": 0.1, ""width"": 256}"
2.7996586840000077,11.0,scheduler_tuning,5.355571269989014,5.481107115745544,138884096,2.80s,tune-wsd-lr0.0012-wu40,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0012, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 40, ""weight_decay"": 0.1, ""width"": 256}"
3.210783668000005,13.0,scheduler_final,5.283380031585693,5.393768668174744,151816192,3.21s,final-cosine,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": true, ""peak_lr"": 0.0012, ""planned_steps"": 300, ""schedule"": ""cosine"", ""seed"": 42, ""steps"": 200, ""warmup"": 10, ""weight_decay"": 0.1, ""width"": 256}"
3.1477514699999745,13.0,scheduler_final,5.368446350097656,5.438701152801514,151816192,3.15s,final-wsd,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": true, ""peak_lr"": 0.0012, ""planned_steps"": 300, ""schedule"": ""wsd"", ""seed"": 42, ""steps"": 200, ""warmup"": 10, ""weight_decay"": 0.1, ""width"": 256}"
1.3747846420000087,7.199999999999999,width_sweep,5.708455562591553,5.824765563011169,138884096,1.37s,width-256-lr0.0001-seed42,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0001, ""planned_steps"": 120, ""schedule"": ""warmup_stable"", ""seed"": 42, ""steps"": 120, ""warmup"": 20, ""weight_decay"": 0.1, ""width"": 256}"
1.4648075469999924,7.199999999999999,width_sweep,5.545140266418457,5.630785226821899,138884096,1.46s,width-256-lr0.0002-seed42,42,ok,"{""batch_size"": 8, ""context"": 128, ""log_ratios"": false, ""peak_lr"": 0.0002, ""planned_steps"": 120, ""schedule"": ""warmup_stable"", ""seed"": 42, ""steps"": 120, ""warmup"": 20, ""weight_decay"": 0.1, ""width"": 256}"
